university,province,year,track,batch,cutoff
tsinghua,广东,2016,science,first,671
tsinghua,广西,2016,arts,first,660
tsinghua,广西,2016,science,first,674
tsinghua,新疆,2016,arts,first,644
tsinghua,新疆,2016,science,first,683
tsinghua,江苏,2016,arts,first,410
tsinghua,江苏,2016,science,first,419
tsinghua,江西,2016,arts,first,624
tsinghua,江西,2016,science,first,677
tsinghua,河北,2016,arts,first,675
tsinghua,河北,2016,science,first,706
tsinghua,河南,2016,arts,first,638
tsinghua,河南,2016,science,first,685
tsinghua,浙江,2016,arts,first,702
tsinghua,浙江,2016,science,first,733
tsinghua,海南,2016,arts,first,877
tsinghua,海南,2016,science,first,876
tsinghua,湖北,2016,arts,first,642
tsinghua,湖北,2016,science,first,689
tsinghua,湖南,2016,arts,first,644
tsinghua,湖南,2016,science,first,675
tsinghua,甘肃,2016,arts,first,618
tsinghua,甘肃,2016,science,first,671
tsinghua,福建,2016,arts,first,630
tsinghua,福建,2016,science,first,668
tsinghua,贵州,2016,arts,first,687
tsinghua,贵州,2016,science,first,684
tsinghua,辽宁,2016,arts,first,639
tsinghua,辽宁,2016,science,first,686
tsinghua,重庆,2016,arts,first,655
tsinghua,重庆,2016,science,first,702
tsinghua,陕西,2016,arts,first,665
tsinghua,陕西,2016,science,first,701
tsinghua,青海,2016,arts,first,603
tsinghua,青海,2016,science,first,658
tsinghua,黑龙江,2016,arts,first,632
tsinghua,黑龙江,2016,science,first,683
