year,sheet,kind,agegroup,stat,value,workbook
2014,All,cv,50-59,70,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,75,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,80,0.7,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,90,1.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,Mean,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,Median,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,50-59,N,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,10,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,20,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,25,0.4,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,30,0.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,40,0.6,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,60,0.9,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,70,1.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,75,1.5,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,80,1.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,90,3.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,Mean,0.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,Median,0.7,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,60+,N,0.8,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,10,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,20,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,25,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,30,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,40,0.0,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,60,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,70,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,75,0.1,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,80,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,90,0.3,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,Mean,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,Median,0.2,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,cv,All employees,N,0.0,Age Group Table 6.6b   Hourly pay - Excluding overtime 2014 CV.xls
2014,All,value,18-21,10,5.25,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,20,6.3,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,25,6.31,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,30,6.34,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,40,6.56,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,60,7.26,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,70,7.8,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,75,8.14,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,80,8.57,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,90,10.17,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,Mean,7.65,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,18-21,Median,6.9,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
